,Tatneft_Год отч_2018.txt,NOVATEC_Год отч_2014.txt,NOVATEC_Год отч_2015.txt,NOVATEC_Год отч_2017.txt,Fosagro_Год отч_2018.txt,Metalloinvest_ Год отч_2018.txt,Rusal_Год отч_2018.txt,NOVATEC_Год отч_2016.txt,Gazprom_Год отч_2017.txt,MMK_Год отч_2014.txt,MMK_Год отч_2015.txt,Gazprom_Год отч_2016.txt,Gazprom_Год отч_2014.txt,MMK_Год отч_2017.txt,MMK_Год отч_2016.txt,Gazprom_Год отч_2015.txt,Rosneft_Год отч_2017.txt,Rushidro_Год отчёт_2015.txt,Uralkalii_2016.txt,Uralkalii_2017.txt,Rushidro_Год отчёт_2014.txt,Rosneft_Год отч_2016.txt,Rosneft_Год отч_2014.txt,Rushidro_Год отчёт_2016.txt,Uralkalii_2015.txt,Uralkalii_2014.txt,Rushidro_Год отчёт_2017.txt,Polyus_Год отч_2018.txt,Rosneft_Год отч_2015.txt,Lukoil_Год отч_2018.txt,Aeroflot_Год отч_2014.txt,ALROSA_2016.txt,SeverStal_год отч_2018.txt,ALROSA_2017.txt,Aeroflot_Год отч_2015.txt,NorNickel_Год отч_2018.txt,Aeroflot_Год отч_2017.txt,ALROSA_2015.txt,ALROSA_2014.txt,Acron_Год отч_2018.txt,Aeroflot_Год отч_2016.txt,NorNickel_Год отч_2016.txt,Lukoil_Год отч_2017.txt,Acron_Год отч_2015.txt,SeverStal_год отч_2017.txt,SeverStal_год отч_2016.txt,ALROSA_2018.txt,Acron_Год отч_2014.txt,Lukoil_Год отч_2016.txt,NorNickel_Год отч_2017.txt,NorNickel_Год отч_2015.txt,Aeroflot_Год отч_2018.txt,Lukoil_Год отч_2014.txt,Acron_Год отч_2016.txt,SeverStal_год отч_2014.txt,SeverStal_год отч_2015.txt,AR_2015_rus.txt,Acron_Год отч_2017.txt,Lukoil_Год отч_2015.txt,NorNickel_Год отч_2014.txt,Rosneft_Год отч_2018.txt,Polyus_Год отч_2015.txt,Uralkalii_2018.txt,Polyus_Год отч_2014.txt,Polyus_Год отч_2016.txt,Rushidro_Год отчёт_2018.txt,Polyus_Год отч_2017.txt,Gazprom_Год отч_2018.txt,MMK_Год отч_2018.txt,Tatneft_Год отч_2017.txt,Metalloinvest_ Год отч_2014.txt,Fosagro_Год отч_2014.txt,Rusal_Год отч_2015.txt,Rusal_Год отч_2014.txt,Fosagro_Год отч_2015.txt,Metalloinvest_ Год отч_2015.txt,Tatneft_Год отч_2016.txt,Tatneft_Год отч_2014.txt,NOVATEC_Год отч_2018.txt,Fosagro_Год отч_2017.txt,Metalloinvest_ Год отч_2017.txt,Rusal_Год отч_2016.txt,Rusal_Год отч_2017.txt,Metalloinvest_ Год отч_2016.txt,Fosagro_Год отч_2016.txt,Tatneft_Год отч_2015.txt
ревизионный,36,15,15,13,10,0,0,16,31,16,17,29,12,19,17,17,43,19,8,7,25,45,34,37,6,3,35,3,44,23,22,28,2,70,32,28,34,40,28,42,32,29,28,36,8,7,44,30,27,29,35,39,15,55,17,17,6,35,19,3,32,4,7,2,7,23,5,27,23,13,0,8,0,0,8,0,14,9,16,8,0,0,0,2,8,22
управление,196,35,35,60,121,71,0,51,128,36,44,115,85,48,51,109,168,134,216,73,108,147,111,133,57,52,155,63,147,145,98,84,54,173,118,114,143,85,86,74,120,97,118,65,48,54,135,81,109,114,108,165,189,67,47,47,57,77,111,16,162,19,61,8,20,180,175,107,43,139,28,54,0,0,59,45,164,141,69,58,73,0,0,77,65,144
принцип,136,19,87,36,55,10,0,56,65,19,19,65,49,19,19,61,132,44,159,149,28,139,217,36,132,47,50,53,140,115,82,113,32,156,107,224,130,44,101,43,150,98,114,62,24,25,78,157,118,170,58,160,141,47,17,26,132,48,182,27,122,23,161,11,27,57,83,56,12,177,10,30,0,0,35,17,80,48,152,43,13,0,0,7,27,59
руководящий,30,3,16,8,7,8,0,27,22,0,0,37,20,2,0,31,26,2,37,33,3,23,17,2,36,13,7,30,18,60,17,36,2,26,28,23,28,24,14,28,27,12,43,7,4,5,28,16,37,20,9,28,18,9,9,4,36,36,37,5,27,18,34,10,27,11,31,27,0,36,10,6,0,0,6,14,27,11,34,6,9,0,0,8,4,10
высокий руководство,0,1,1,2,11,2,0,1,1,2,6,1,0,3,4,0,1,0,4,6,0,0,0,1,6,6,1,21,0,2,0,0,11,2,0,2,4,0,0,2,3,0,1,1,14,16,2,0,1,1,0,4,1,1,11,9,6,2,1,0,0,0,2,0,0,1,26,1,3,2,1,12,0,0,15,1,3,4,2,10,1,0,0,1,13,4
базовый оклад,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
состав совет,27,10,15,2,19,12,0,13,10,5,6,12,6,7,6,6,32,6,24,22,24,27,30,5,27,15,12,30,36,36,8,9,8,9,16,22,23,8,13,16,17,14,40,17,8,11,8,14,45,19,13,19,8,18,25,16,27,16,19,4,26,16,15,6,18,14,33,8,6,23,14,11,0,0,12,14,19,11,15,9,12,0,0,13,9,15
общий собрание ,115,31,46,28,46,2,0,78,38,27,29,89,94,46,41,72,138,25,60,73,29,105,91,29,47,36,37,64,129,99,34,95,10,126,78,109,82,129,63,68,77,396,113,45,12,13,89,59,112,99,78,83,72,63,40,34,47,57,90,507,96,35,78,17,62,30,81,50,55,95,5,38,0,0,40,2,82,37,71,51,1,0,0,2,42,57
новый состав,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,2,1,0,1,1,1,2,0,5,2,0,2,0,0,1,2,1,1,0,0,0,4,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
комитет по вознаграждение,10,12,13,11,10,0,0,16,2,0,0,2,2,0,0,2,6,0,9,7,0,9,2,0,9,0,0,11,2,11,2,9,2,12,9,10,9,9,6,0,9,6,13,0,2,3,8,3,13,6,6,9,4,0,5,3,9,0,11,6,8,11,9,2,11,0,12,2,0,11,0,11,0,0,9,0,9,2,23,8,0,0,0,0,6,0
независимый,99,24,54,16,70,24,0,77,44,18,20,54,36,29,26,31,111,37,103,86,36,133,77,33,103,45,46,89,87,116,37,95,47,137,83,170,114,77,41,74,114,100,143,74,37,37,122,77,136,137,57,97,92,83,69,54,103,73,106,24,112,56,73,20,74,68,108,50,32,92,18,39,0,0,37,17,84,45,99,48,15,0,0,12,38,62
прозрачный,11,3,4,2,6,0,0,10,3,1,1,2,3,1,1,4,7,2,8,11,2,8,4,2,8,3,5,11,4,8,1,13,5,12,9,11,12,8,1,4,10,9,9,4,5,5,14,5,8,9,8,12,1,3,8,5,8,4,7,5,6,8,10,1,9,4,13,2,1,10,1,0,0,0,2,0,9,2,12,0,1,0,0,0,0,1
комитет,214,89,95,69,145,50,0,143,92,38,39,92,59,49,45,54,209,168,192,189,110,196,142,159,213,121,178,241,157,313,97,184,185,260,183,256,203,142,143,91,199,215,274,87,168,170,247,138,272,276,168,203,124,104,152,175,213,87,195,42,189,70,185,14,110,148,283,101,39,229,65,137,0,0,132,64,187,98,163,121,46,0,0,50,104,132
управление риск,91,15,33,26,70,31,0,33,45,46,50,48,19,44,42,50,88,115,62,54,87,71,55,71,55,38,71,52,61,121,27,100,28,120,83,193,100,49,38,21,92,63,115,19,30,30,128,28,96,58,38,101,63,23,33,29,55,22,78,10,93,21,42,15,44,59,61,43,47,48,11,78,0,0,67,20,55,22,53,66,80,0,0,50,67,21
исполнительный,87,11,37,10,50,24,0,48,24,22,20,88,51,26,21,70,138,20,61,64,34,125,59,34,62,25,46,84,81,115,41,67,39,79,65,103,104,70,51,56,82,69,117,25,39,49,79,49,110,104,51,110,65,43,61,58,62,63,80,20,140,41,67,21,53,75,83,25,28,133,25,22,0,0,26,26,112,36,57,54,13,0,0,10,37,58
участие ,87,25,42,121,39,15,0,51,83,7,12,101,70,20,9,93,171,60,45,43,45,146,108,42,46,57,83,42,152,109,114,97,22,117,109,84,125,85,75,84,112,73,139,83,30,31,66,79,121,74,77,163,77,106,24,34,46,85,103,22,146,15,48,11,23,89,82,74,17,106,13,31,0,0,39,8,109,82,107,46,21,0,0,12,49,74
собрание,-80,-30,-42,-24,-32,-1,0,-40,-30,-26,-27,-86,-92,-39,-34,-71,-103,-22,-26,-36,-27,-68,-80,-29,-18,-34,-33,-25,-101,-68,-30,-63,-10,-92,-48,-70,-53,-100,-58,-64,-47,-360,-75,-41,-12,-12,-53,-57,-74,-64,-41,-52,-60,-54,-35,-31,-18,-51,-52,-478,-64,-4,-35,-15,-31,-23,-39,-43,-49,-53,-5,-37,0,0,-39,-1,-45,-23,-43,-47,0,0,0,-2,-41,-46
