,Tatneft_Год отч_2018.txt,NOVATEC_Год отч_2014.txt,NOVATEC_Год отч_2015.txt,NOVATEC_Год отч_2017.txt,Fosagro_Год отч_2018.txt,Metalloinvest_ Год отч_2018.txt,Rusal_Год отч_2018.txt,NOVATEC_Год отч_2016.txt,Gazprom_Год отч_2017.txt,MMK_Год отч_2014.txt,MMK_Год отч_2015.txt,Gazprom_Год отч_2016.txt,Gazprom_Год отч_2014.txt,MMK_Год отч_2017.txt,MMK_Год отч_2016.txt,Gazprom_Год отч_2015.txt,Rosneft_Год отч_2017.txt,Rushidro_Год отчёт_2015.txt,Uralkalii_2016.txt,Uralkalii_2017.txt,Rushidro_Год отчёт_2014.txt,Rosneft_Год отч_2016.txt,Rosneft_Год отч_2014.txt,Rushidro_Год отчёт_2016.txt,Uralkalii_2015.txt,Uralkalii_2014.txt,Rushidro_Год отчёт_2017.txt,Polyus_Год отч_2018.txt,Rosneft_Год отч_2015.txt,Lukoil_Год отч_2018.txt,Aeroflot_Год отч_2014.txt,ALROSA_2016.txt,SeverStal_год отч_2018.txt,ALROSA_2017.txt,Aeroflot_Год отч_2015.txt,NorNickel_Год отч_2018.txt,Aeroflot_Год отч_2017.txt,ALROSA_2015.txt,ALROSA_2014.txt,Acron_Год отч_2018.txt,Aeroflot_Год отч_2016.txt,NorNickel_Год отч_2016.txt,Lukoil_Год отч_2017.txt,Acron_Год отч_2015.txt,SeverStal_год отч_2017.txt,SeverStal_год отч_2016.txt,ALROSA_2018.txt,Acron_Год отч_2014.txt,Lukoil_Год отч_2016.txt,NorNickel_Год отч_2017.txt,NorNickel_Год отч_2015.txt,Aeroflot_Год отч_2018.txt,Lukoil_Год отч_2014.txt,Acron_Год отч_2016.txt,SeverStal_год отч_2014.txt,SeverStal_год отч_2015.txt,AR_2015_rus.txt,Acron_Год отч_2017.txt,Lukoil_Год отч_2015.txt,NorNickel_Год отч_2014.txt,Rosneft_Год отч_2018.txt,Polyus_Год отч_2015.txt,Uralkalii_2018.txt,Polyus_Год отч_2014.txt,Polyus_Год отч_2016.txt,Rushidro_Год отчёт_2018.txt,Polyus_Год отч_2017.txt,Gazprom_Год отч_2018.txt,MMK_Год отч_2018.txt,Tatneft_Год отч_2017.txt,Metalloinvest_ Год отч_2014.txt,Fosagro_Год отч_2014.txt,Rusal_Год отч_2015.txt,Rusal_Год отч_2014.txt,Fosagro_Год отч_2015.txt,Metalloinvest_ Год отч_2015.txt,Tatneft_Год отч_2016.txt,Tatneft_Год отч_2014.txt,NOVATEC_Год отч_2018.txt,Fosagro_Год отч_2017.txt,Metalloinvest_ Год отч_2017.txt,Rusal_Год отч_2016.txt,Rusal_Год отч_2017.txt,Metalloinvest_ Год отч_2016.txt,Fosagro_Год отч_2016.txt,Tatneft_Год отч_2015.txt
область охрана труд,0,0,3,9,11,3,0,2,12,0,4,13,13,3,4,13,0,0,10,9,0,0,1,0,11,7,7,8,0,0,0,0,3,2,0,2,0,0,1,4,1,4,1,2,2,2,6,0,0,4,7,0,0,2,1,1,11,3,0,0,4,0,10,0,2,6,14,12,3,1,0,5,0,0,4,1,1,1,0,4,3,0,0,2,3,2
мотивированный ,0,0,0,0,1,0,0,0,0,2,2,2,0,2,3,0,2,0,1,1,2,3,2,0,1,1,1,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,2,0,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
приносить польза,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
программа долгосрочный мотивация,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,8,1,4,2,6,6,3,11,4,3,6,1,4,0,3,5,2,3,4,4,0,4,0,3,0,0,0,3,3,3,1,2,4,1,0,0,0,6,0,3,1,6,4,6,1,3,6,3,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0
господдержка,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,3,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
социальный политика,3,4,4,25,8,4,0,4,5,5,3,4,6,1,2,4,4,11,0,0,8,3,6,8,1,0,10,0,3,4,0,6,0,6,2,8,0,4,4,0,2,7,6,0,0,0,3,0,5,21,6,1,4,1,0,0,1,0,6,0,7,0,1,0,0,14,0,7,1,1,3,2,0,0,3,4,2,4,4,8,1,0,0,2,5,5
сотрудник,21,14,15,108,110,70,0,15,5,3,16,8,6,12,12,8,19,14,77,79,37,13,22,5,98,98,22,28,22,4,27,16,82,45,31,192,44,33,7,84,40,6,8,71,77,74,35,48,5,9,58,68,7,76,51,45,98,81,5,1,12,0,85,0,2,26,145,2,7,38,22,91,0,0,110,32,40,64,26,89,43,0,0,39,103,51
соблюдать принцип,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
регион,46,34,37,75,86,38,0,38,108,17,23,146,96,18,11,114,162,61,33,35,58,134,140,59,38,39,120,51,136,80,64,37,17,48,88,72,103,34,39,64,94,43,90,54,34,27,55,38,107,56,51,111,98,58,50,39,38,57,109,7,156,6,36,5,5,119,104,80,18,77,37,91,0,0,83,32,72,108,69,64,47,0,0,41,81,80
социальный стратегия,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
местный самоуправление,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,3,1,2,6,0,1,2,1,0,0,0,2,0,2,2,4,1,3,0,0,0,1,0,1,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,3,0
развитие инфраструктура,2,0,0,2,1,0,0,0,1,1,1,0,1,0,0,0,1,3,1,1,0,3,0,3,1,1,2,1,3,0,0,0,0,1,1,4,3,0,0,0,1,2,1,1,1,1,1,0,0,3,1,5,0,0,1,1,1,0,1,0,3,0,1,0,0,0,6,2,0,2,0,1,0,0,2,1,2,5,0,0,0,0,0,0,0,2
интерес общество,2,0,1,0,2,0,0,2,0,0,0,0,1,0,0,0,2,1,3,5,0,2,1,1,3,0,4,2,1,2,1,2,0,1,2,2,2,2,1,5,2,2,2,2,0,0,2,1,2,2,2,3,1,4,0,0,3,5,4,3,2,2,2,1,2,3,2,0,0,3,0,0,0,0,0,0,3,1,2,0,0,0,0,0,1,0
выплата,90,12,18,26,65,11,0,28,23,5,8,28,24,19,14,28,98,29,48,48,41,94,79,32,49,98,53,68,109,117,58,35,64,59,67,51,66,40,28,75,65,47,138,45,63,67,53,47,130,54,48,73,63,81,16,61,49,78,116,5,70,17,57,10,39,59,71,34,23,86,4,58,0,0,63,5,74,66,67,55,7,0,0,8,61,81
сохранение здоровье,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
образовательный,4,3,4,16,12,5,0,7,16,2,4,109,22,2,1,83,19,8,6,5,7,15,2,7,4,4,12,3,11,7,6,17,0,5,6,6,12,3,5,16,10,7,12,6,8,5,4,11,8,9,4,12,6,7,3,8,4,11,12,0,24,0,3,0,0,12,9,9,3,8,2,9,0,0,6,5,14,14,13,7,3,0,0,0,7,8
размер вознаграждение,4,3,4,4,1,1,0,4,4,3,3,8,12,3,3,8,10,5,3,5,4,12,25,8,5,3,4,7,7,7,4,5,1,11,8,16,10,7,3,4,6,10,8,3,1,2,8,4,21,11,8,7,13,4,3,3,5,4,17,1,9,2,6,0,3,4,8,5,3,6,0,5,0,0,6,0,3,2,6,6,1,0,0,1,6,2
местный сообщество,2,0,0,20,8,6,0,1,1,1,0,1,0,0,0,1,0,1,19,17,0,0,0,1,21,21,5,6,0,3,0,1,1,4,0,5,0,4,2,10,1,5,0,4,1,2,7,5,0,5,0,0,1,8,4,5,21,7,2,0,1,0,15,0,0,5,34,1,0,3,8,6,0,0,8,2,4,8,0,5,1,0,0,0,3,4
качество образование,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
гарантия,38,4,8,2,23,8,0,31,4,3,4,3,4,2,1,45,25,4,5,6,5,26,23,6,7,8,6,4,20,39,3,5,7,7,6,7,10,2,3,11,8,7,65,10,5,5,8,10,71,6,7,12,35,17,2,7,7,14,113,1,30,0,9,0,0,11,29,6,0,37,5,16,0,0,16,1,25,19,22,19,7,0,0,1,16,24
создание рабочий место,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,3
